V,G,Mat_HB,Mat_KF,PDAS,Alloy
0.05,1.84E+07,3.63E-13,1.58E-12,1.40E-06,INC718
0.7,2.93E+06,3.63E-13,1.58E-12,1.12E-06,INC718
0.09,7.08E+06,3.63E-13,1.58E-12,1.80E-06,INC718
7.10E-01,3.42E+06,3.63E-13,1.58E-12,1.00E-06,INC718
3.00E-01,3.33E+06,2.13E-13,9.23E-13,7.50E-07,INC718
2.94E-03,5.00E+05,6.78E-14,9.39E-14,3.21E-05,Ti-48 at%Ni
3.39E-03,5.00E+05,6.78E-14,9.39E-14,3.18E-05,Ti-48 at%Ni
0.00401869,500000,6.78E-14,9.39E-14,3.09115E-05,Ti-48 at%Ni
0.00478505,500000,6.78E-14,9.39E-14,2.93029E-05,Ti-48 at%Ni
0.00513084,500000,6.78E-14,9.39E-14,2.84316E-05,Ti-48 at%Ni
0.00569159,500000,6.78E-14,9.39E-14,0.000026622,Ti-48 at%Ni
0.0061028,500000,6.78E-14,9.39E-14,2.52145E-05,Ti-48 at%Ni
0.0064486,500000,6.78E-14,9.39E-14,2.36059E-05,Ti-48 at%Ni
0.00681308,500000,6.78E-14,9.39E-14,2.19303E-05,Ti-48 at%Ni
0.00723364,500000,6.78E-14,9.39E-14,1.99196E-05,Ti-48 at%Ni
0.00739252,500000,6.78E-14,9.39E-14,1.91153E-05,Ti-48 at%Ni
0.003,1600000,1.21E-14,2.46E-14,0.0000075,SRR99 
0.0048,1500000,1.21E-14,2.46E-14,0.0000052,SRR99 
0.005,590000,1.21E-14,2.46E-14,0.00000985,SRR99 
0.0075,620000,1.21E-14,2.46E-14,0.00000727,SRR99 
0.01,750000,1.21E-14,2.46E-14,0.00000567,SRR99 
0.015,900000,1.21E-14,2.46E-14,0.0000052,SRR99 
0.007,390000,1.21E-14,2.46E-14,0.000017,SRR99 
0.01,430000,1.21E-14,2.46E-14,0.00000785,SRR99 
0.015,510000,1.21E-14,2.46E-14,0.000006,SRR99 
0.0205,650000,1.21E-14,2.46E-14,0.0000052,SRR99 
