V,G,Mat_HB,Mat_KF,PDAS
0.01,1.00E+07,2.02E-14,2.57E-13,2.46857E-06
0.02,1.00E+07,2.02E-14,2.57E-13,0.00000216
0.03,1.00E+07,2.02E-14,2.57E-13,0.00000108
0.04,1.00E+07,2.02E-14,2.57E-13,9.25714E-07
0.05,1.00E+07,2.02E-14,2.57E-13,0.00000081
0.06,1.00E+07,2.02E-14,2.57E-13,0.00000072
0.07,1.00E+07,2.02E-14,2.57E-13,0.000000576
0.08,1.00E+07,2.02E-14,2.57E-13,0.00000056
0.09,1.00E+07,2.02E-14,2.57E-13,0.000000528
0.01,8.00E+06,2.02E-14,2.57E-13,0.00000288
0.02,8.00E+06,2.02E-14,2.57E-13,0.00000216
0.03,8.00E+06,2.02E-14,2.57E-13,0.00000126
0.04,8.00E+06,2.02E-14,2.57E-13,0.00000108
0.05,8.00E+06,2.02E-14,2.57E-13,0.000000972
0.06,8.00E+06,2.02E-14,2.57E-13,0.0000009
0.07,8.00E+06,2.02E-14,2.57E-13,0.00000072
0.08,8.00E+06,2.02E-14,2.57E-13,0.000000616
0.09,8.00E+06,2.02E-14,2.57E-13,0.00000054
0.01,7.00E+06,2.02E-14,2.57E-13,0.00000288
0.02,7.00E+06,2.02E-14,2.57E-13,0.00000216
0.03,7.00E+06,2.02E-14,2.57E-13,1.23429E-06
0.04,7.00E+06,2.02E-14,2.57E-13,1.0125E-06
0.05,7.00E+06,2.02E-14,2.57E-13,0.000000972
0.06,7.00E+06,2.02E-14,2.57E-13,0.0000009
0.07,7.00E+06,2.02E-14,2.57E-13,0.000000768
0.08,7.00E+06,2.02E-14,2.57E-13,0.000000672
0.09,7.00E+06,2.02E-14,2.57E-13,5.616E-07
0.01,6.00E+06,2.02E-14,2.57E-13,3.14182E-06
0.02,6.00E+06,2.02E-14,2.57E-13,2.35636E-06
0.03,6.00E+06,2.02E-14,2.57E-13,0.00000135
0.04,6.00E+06,2.02E-14,2.57E-13,1.23429E-06
0.05,6.00E+06,2.02E-14,2.57E-13,1.11086E-06
0.06,6.00E+06,2.02E-14,2.57E-13,0.00000099
0.07,6.00E+06,2.02E-14,2.57E-13,0.000000864
0.08,6.00E+06,2.02E-14,2.57E-13,0.000000728
0.09,6.00E+06,2.02E-14,2.57E-13,5.89091E-07
0.01,5.00E+06,2.02E-14,2.57E-13,0.000003456
0.02,5.00E+06,2.02E-14,2.57E-13,0.000002592
0.03,5.00E+06,2.02E-14,2.57E-13,0.00000144
0.04,5.00E+06,2.02E-14,2.57E-13,1.38857E-06
0.05,5.00E+06,2.02E-14,2.57E-13,1.23429E-06
0.06,5.00E+06,2.02E-14,2.57E-13,1.13143E-06
0.07,5.00E+06,2.02E-14,2.57E-13,9.87429E-07
0.08,5.00E+06,2.02E-14,2.57E-13,0.000000784
0.09,5.00E+06,2.02E-14,2.57E-13,0.000000648
0.01,10000000,3.37E-14,3.50E-13,2.05543E-06
0.02,10000000,3.37E-14,3.50E-13,1.18909E-06
0.03,10000000,3.37E-14,3.50E-13,1.06733E-06
0.04,10000000,3.37E-14,3.50E-13,7.26667E-07
0.05,10000000,3.37E-14,3.50E-13,6.976E-07
0.06,10000000,3.37E-14,3.50E-13,5.9296E-07
0.07,10000000,3.37E-14,3.50E-13,4.8832E-07
0.08,10000000,3.37E-14,3.50E-13,4.60416E-07
0.09,10000000,3.37E-14,3.50E-13,3.99667E-07
0.01,8000000,3.37E-14,3.50E-13,2.51136E-06
0.02,8000000,3.37E-14,3.50E-13,1.35644E-06
0.03,8000000,3.37E-14,3.50E-13,1.18592E-06
0.04,8000000,3.37E-14,3.50E-13,7.13455E-07
0.05,8000000,3.37E-14,3.50E-13,6.976E-07
0.06,8000000,3.37E-14,3.50E-13,6.46865E-07
0.07,8000000,3.37E-14,3.50E-13,6.02095E-07
0.08,8000000,3.37E-14,3.50E-13,5.08667E-07
0.09,8000000,3.37E-14,3.50E-13,0.000000436
0.01,7000000,3.37E-14,3.50E-13,0.000002834
0.02,7000000,3.37E-14,3.50E-13,0.000001526
0.025,7000000,3.37E-14,3.50E-13,1.23106E-06
0.03,7000000,3.37E-14,3.50E-13,1.1118E-06
0.035,7000000,3.37E-14,3.50E-13,9.52019E-07
0.04,7000000,3.37E-14,3.50E-13,7.848E-07
0.05,7000000,3.37E-14,3.50E-13,6.976E-07
0.06,7000000,3.37E-14,3.50E-13,6.52256E-07
0.07,7000000,3.37E-14,3.50E-13,6.104E-07
0.005,6000000,3.37E-14,3.50E-13,3.88436E-06
0.01,6000000,3.37E-14,3.50E-13,2.92992E-06
0.015,6000000,3.37E-14,3.50E-13,2.42222E-06
0.02,6000000,3.37E-14,3.50E-13,0.000001744
0.025,6000000,3.37E-14,3.50E-13,1.3952E-06
0.03,6000000,3.37E-14,3.50E-13,1.26004E-06
0.035,6000000,3.37E-14,3.50E-13,1.12391E-06
0.04,6000000,3.37E-14,3.50E-13,9.63789E-07
0.045,6000000,3.37E-14,3.50E-13,8.88522E-07
0.02,5000000,3.37E-14,3.50E-13,0.000001962
0.025,5000000,3.37E-14,3.50E-13,1.5696E-06
0.03,5000000,3.37E-14,3.50E-13,1.31769E-06
0.035,5000000,3.37E-14,3.50E-13,1.2644E-06
0.04,5000000,3.37E-14,3.50E-13,1.06578E-06
0.045,5000000,3.37E-14,3.50E-13,1.02315E-06
0.0003,10000000,3.51E-14,2.71E-13,3.36941E-05
0.0005,10000000,3.51E-14,2.71E-13,2.01432E-05
0.00085,10000000,3.51E-14,2.71E-13,1.73964E-05
0.001,10000000,3.51E-14,2.71E-13,1.44403E-05
0.0015,10000000,3.51E-14,2.71E-13,1.24522E-05
0.002,10000000,3.51E-14,2.71E-13,1.05477E-05
0.003,10000000,3.51E-14,2.71E-13,9.33553E-06
0.004,10000000,3.51E-14,2.71E-13,8.13867E-06
0.005,10000000,3.51E-14,2.71E-13,7.89929E-06
0.006,10000000,3.51E-14,2.71E-13,5.82655E-06
0.007,10000000,3.51E-14,2.71E-13,5.2647E-06
0.008,10000000,3.51E-14,2.71E-13,4.34062E-06
0.0001,5000000,3.51E-14,2.71E-13,6.29475E-05
0.0003,5000000,3.51E-14,2.71E-13,4.78401E-05
0.0005,5000000,3.51E-14,2.71E-13,3.05644E-05
0.0008,5000000,3.51E-14,2.71E-13,2.13204E-05
0.001,5000000,3.51E-14,2.71E-13,0.000018312
0.0012,5000000,3.51E-14,2.71E-13,1.78542E-05
0.0014,5000000,3.51E-14,2.71E-13,1.62519E-05
0.0016,5000000,3.51E-14,2.71E-13,0.000016023
0.0018,5000000,3.51E-14,2.71E-13,1.52753E-05
0.002,5000000,3.51E-14,2.71E-13,1.48327E-05
0.005,1.00E+06,5.85E-15,5.90E-14,5.02914E-06
0.01,1.00E+06,5.85E-15,5.90E-14,3.91156E-06
0.03,1.00E+06,5.85E-15,5.90E-14,2.34693E-06
0.05,1.00E+06,5.85E-15,5.90E-14,1.60018E-06
0.08,1.00E+06,5.85E-15,5.90E-14,1.17347E-06
0.1,1.00E+06,5.85E-15,5.90E-14,1.00583E-06
0.12,1.00E+06,5.85E-15,5.90E-14,8.801E-07
0.005,3.00E+06,5.85E-15,5.90E-14,3.5204E-06
0.01,3.00E+06,5.85E-15,5.90E-14,0.000002708
0.03,3.00E+06,5.85E-15,5.90E-14,1.60018E-06
0.05,3.00E+06,5.85E-15,5.90E-14,1.17347E-06
0.08,3.00E+06,5.85E-15,5.90E-14,8.3819E-07
0.1,3.00E+06,5.85E-15,5.90E-14,8.00091E-07
