V,G,Mat_HB,Mat_KF,PDAS
0.01,1.00E+07,2.02E-14,2.57E-13,2.47E-06
0.02,1.00E+07,2.02E-14,2.57E-13,0.00000216
0.03,1.00E+07,2.02E-14,2.57E-13,0.00000108
0.04,1.00E+07,2.02E-14,2.57E-13,9.26E-07
0.05,1.00E+07,2.02E-14,2.57E-13,0.00000081
0.06,1.00E+07,2.02E-14,2.57E-13,0.00000072
0.07,1.00E+07,2.02E-14,2.57E-13,0.000000576
0.08,1.00E+07,2.02E-14,2.57E-13,0.00000056
0.09,1.00E+07,2.02E-14,2.57E-13,0.000000528
0.01,8.00E+06,2.02E-14,2.57E-13,0.00000288
0.02,8.00E+06,2.02E-14,2.57E-13,0.00000216
0.03,8.00E+06,2.02E-14,2.57E-13,0.00000126
0.04,8.00E+06,2.02E-14,2.57E-13,0.00000108
0.05,8.00E+06,2.02E-14,2.57E-13,0.000000972
0.06,8.00E+06,2.02E-14,2.57E-13,0.0000009
0.07,8.00E+06,2.02E-14,2.57E-13,0.00000072
0.08,8.00E+06,2.02E-14,2.57E-13,0.000000616
0.09,8.00E+06,2.02E-14,2.57E-13,0.00000054
0.01,7.00E+06,2.02E-14,2.57E-13,0.00000288
0.02,7.00E+06,2.02E-14,2.57E-13,0.00000216
0.03,7.00E+06,2.02E-14,2.57E-13,1.23E-06
0.04,7.00E+06,2.02E-14,2.57E-13,1.01E-06
0.05,7.00E+06,2.02E-14,2.57E-13,0.000000972
0.06,7.00E+06,2.02E-14,2.57E-13,0.0000009
0.07,7.00E+06,2.02E-14,2.57E-13,0.000000768
0.08,7.00E+06,2.02E-14,2.57E-13,0.000000672
0.09,7.00E+06,2.02E-14,2.57E-13,5.62E-07
0.01,6.00E+06,2.02E-14,2.57E-13,3.14E-06
0.02,6.00E+06,2.02E-14,2.57E-13,2.36E-06
0.03,6.00E+06,2.02E-14,2.57E-13,0.00000135
0.04,6.00E+06,2.02E-14,2.57E-13,1.23E-06
0.05,6.00E+06,2.02E-14,2.57E-13,1.11E-06
0.06,6.00E+06,2.02E-14,2.57E-13,0.00000099
